ACEP NUMBER, CONTAINER OPERATOR(S), COUNTRY, DELIVERING AUTHORITY, ADMINISTRATION
ACEP/DK/2011/006, DANISH DEFENCE ACQUISITION AND LOGISTICS, DK, Denmark Arbejdstilsynet, Denmark Danish Working Environment Authority
ACEP/DK/2012/007,,DK, Denmark Arbejdstilsynet, Denmark Danish Working Environment Authority
ACEP/DK/2013/008, NORDANA LINE AS, DK, Denmark Arbejdstilsynet,	Denmark Danish Working Environment Authority
DK-AT-842512-35, A.P MOLLER - MAERSK A/S, DK, Denmark Arbejdstilsynet, Denmark Danish Working Environment Authority
FR/BV/18.02, UES INTERNATIONAL (HK) HOLDINGS LIMITED, FR, France BUREAU VERITAS SA, France Direction des Affaires Maritimes
A.C.E.P. FR/020, YANG MING MARINE TRANSPORT CORP., FR, France BUREAU VERITAS SA,  France Direction des Affaires Maritimes
A.C.E.P./FR/018, CMA-CGM, FR, France SNCF direction du matériel, France Direction des Affaires Maritimes
ACEP FR 010, ORIENT OVERSEAS CONTAINER LINE LTD., FR, France BUREAU VERITAS SA,  France Direction des Affaires Maritimes
FR.BV.008, EVERGREEN MARINE CORP (TAIWAN) LTD,  FR, France BUREAU VERITAS SA,  France Direction des Affaires Maritimes
FR.BV.032, PACIFIC INTERNATIONAL LINES (PTE) LTD, FR, France BUREAU VERITAS SA,  France Direction des Affaires Maritimes
FR.BV.041, WATERFRONT CONTAINER LEASING CO INC.,FR, France BUREAU VERITAS SA,  France Direction des Affaires Maritimes
FR.BV.042, T.S. LINES LTD, FR, France BUREAU VERITAS SA,  France Direction des Affaires Maritimes
FR.BV.052, FORMOSA PLASTICS MARINE CORP, FR, France BUREAU VERITAS SA, France Direction des Affaires Maritimes
FR.BV.072, CAPITAL INTERMODAL LIMITED, FR, France BUREAU VERITAS SA, France Direction des Affaires Maritimes
